Book Title,Price (£)
In Her Wake,12.84
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99
Untitled Collection: Sabbath Poems 2014,14.27
Sophie's World,15.94
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28
Thirst,17.27
Set Me Free,17.46
The Four Agreements: A Practical Guide to Personal Freedom,17.66
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93
Maude (1883-1993):She Grew Up with the country,18.02
Unicorn Tracks,18.78
The Torch Is Passed: A Harding Family Story,19.09
This One Summer,19.49
"In a Dark, Dark Wood",19.63
Shakespeare's Sonnets,20.66
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6
The Requiem Red,22.65
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11
The Elephant Tree,23.82
Olio,23.88
Chase Me (Paris Nights #2),25.27
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52
Reasons to Stay Alive,26.41
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12
When We Collided,31.77
Penny Maybe,33.29
The Dirty Little Secrets of Getting Your Dream Job,33.34
You can't bury them all: Poems,33.63
Black Dust,34.53
Rip it Up and Start Again,35.02
The Bear and the Piano,36.89
How Music Works,37.32
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3
Wall and Piece,44.18
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18
Without Borders (Wanderlove #1),45.07
It's Only the Himalayas,45.17
The Natural History of Us (The Fine Art of Pretending #2),45.22
Private Paris (Private #10),47.61
Sharp Objects,47.82
Soumission,50.1
"We Love You, Charlie Freeman",50.27
Libertarianism for Beginners,51.33
A Light in the Attic,51.77
The Black Maria,52.15
Behind Closed Doors,52.22
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29
Aladdin and His Wonderful Lamp,53.13
Tipping the Velvet,53.74
Sapiens: A Brief History of Humankind,54.23
Birdsong: A Story in Pictures,54.64
The Secret of Dreadwillow Carse,56.13
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41
The Past Never Ends,56.5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25
Slow States of Collapse: Poems,57.31
